Time,SensorID,RadarID,TOA,Amplitude,Frequency,PulseWidth,AOA
0.03,Sensor1,Radar3,0.030091519075199705,-108.76297065299508,4491743064.354871,0.0003106903036888911,0.0
0.05,Sensor1,Radar3,0.05009786386161338,-110.12191307539354,4509554234.663206,0.0003107391183227289,0.0
0.07,Sensor1,Radar2,0.0700047164660842,-154.08812340493031,2475303516.415687,0.00020148334011420592,-135.0
0.10999999999999999,Sensor1,Radar1,0.11006473677961551,-86.12967069257695,488214825.6125832,0.00010086417912922748,45.0
0.10999999999999999,Sensor1,Radar3,0.11006924246743717,-110.58975711442204,4502155251.942725,0.000293028630556238,0.0
0.12999999999999998,Sensor1,Radar3,0.13010503777313703,-110.15899835224725,4513929101.4737625,0.0002954775209100639,0.0
0.25000000000000006,Sensor1,Radar3,0.25006002822209983,-110.94218289360268,4503025585.924485,0.0003096976718552515,0.0
0.2700000000000001,Sensor1,Radar2,0.27010471509303813,-153.85009705827503,2508208227.8122597,0.0002011820344598001,-135.0
0.45000000000000023,Sensor1,Radar1,0.45002750059247554,-85.89566064111575,500078577.3675779,9.673848714142264e-05,45.0
0.7300000000000004,Sensor1,Radar2,0.7301047172459434,-154.40540110588802,2502758102.667659,0.00020527165793921988,-135.0
0.7500000000000004,Sensor1,Radar1,0.7500087698393956,-86.0471880286942,485557563.63053,9.763427327419226e-05,45.0
0.8100000000000005,Sensor1,Radar1,0.810005274445332,-85.8547788353507,498727085.6385512,9.831044374370702e-05,45.0
0.9300000000000006,Sensor1,Radar3,0.9300573449934573,-109.38100193471844,4518835769.300641,0.0002994065047581702,0.0
0.9500000000000006,Sensor1,Radar1,0.9500307130913096,-87.50838021590043,513802916.27038914,0.00010320251998340963,45.0
0.9700000000000006,Sensor1,Radar1,0.9700153950800299,-86.17074567026327,498840737.768804,9.600780300438173e-05,45.0
1.0100000000000007,Sensor1,Radar3,1.0100676569125029,-108.95047375601052,4515218098.120602,0.0003089715584615006,0.0
1.1700000000000008,Sensor1,Radar1,1.1700099359802811,-87.12344431069421,491414441.001195,0.00010226604973352096,45.0
1.1900000000000008,Sensor1,Radar2,1.1901047173909456,-155.24183351535112,2499360397.7151346,0.0001954653282392678,-135.0
1.2500000000000009,Sensor1,Radar1,1.250065393362615,-87.94410821448926,478643705.582522,0.00010144605686770033,45.0
1.350000000000001,Sensor1,Radar2,1.350004716325091,-155.39235175419884,2505376988.221402,0.00019706342290184048,-135.0
1.450000000000001,Sensor1,Radar2,1.4500047155771187,-155.62449035166156,2497564809.2081547,0.00020378287377983216,-135.0
1.5100000000000011,Sensor1,Radar3,1.5100589642770184,-108.63297020683908,4506608590.3072605,0.0003133098915829329,0.0
1.5700000000000012,Sensor1,Radar3,1.5700569454177513,-109.09500265361892,4502273488.490635,0.000308311884520432,0.0
1.6100000000000012,Sensor1,Radar2,1.6100047178141834,-155.84317004338263,2513234766.7437115,0.0002072591999779339,-135.0
1.7300000000000013,Sensor1,Radar1,1.7300491912290121,-87.45682848147035,513032209.1470474,0.00010259392383901263,45.0
1.8100000000000014,Sensor1,Radar2,1.810004717485964,-155.53935619476442,2512711783.0759287,0.00020635877022308956,-135.0
1.9100000000000015,Sensor1,Radar2,1.910004717064086,-153.80856934427263,2492290420.3949647,0.00019673272497576838,-135.0
2.0300000000000007,Sensor1,Radar3,2.0300431370731884,-111.018115671516,4506135249.335823,0.000311982653075221,0.0
2.0500000000000003,Sensor1,Radar1,2.050079763208531,-86.99482914098549,496475364.917987,9.627002940579975e-05,45.01719389150541
2.07,Sensor1,Radar1,2.0700286628305045,-86.94720543771362,503855022.8668678,9.832477274317726e-05,45.02292748157457
2.07,Sensor1,Radar2,2.0700047194283484,-152.3436257605886,2508775627.6598725,0.0001969509567305992,-135.02290914692514
2.209999999999997,Sensor1,Radar1,2.2100502729935836,-86.01918072383212,502866465.2051907,9.585308408004854e-05,45.06309473619798
2.249999999999996,Sensor1,Radar3,2.2500144780055966,-110.13504910706013,4508528167.933865,0.000312038521134029,0.0
2.2699999999999956,Sensor1,Radar2,2.270004723266669,-151.03001607538198,2501531497.632881,0.00019866849898266838,-135.0801018964033
2.349999999999994,Sensor1,Radar1,2.350030457178487,-85.97440684974853,496978582.88960576,9.826288247101094e-05,45.10331826421429
2.3699999999999934,Sensor1,Radar2,2.3700047255412615,-150.74664088246013,2487181062.798134,0.00020146423136957142,-135.10865540530418
2.429999999999992,Sensor1,Radar3,2.430090383579651,-108.48326277994704,4504201214.489567,0.00028698481299725047,0.0
2.4499999999999917,Sensor1,Radar3,2.4500206935582822,-109.02345546650884,4499527556.166753,0.00029564687756315885,0.0
2.4699999999999913,Sensor1,Radar1,2.470103152166329,-86.38833282138103,481964208.78909826,9.777541388020472e-05,45.137840422555634
2.52999999999999,Sensor1,Radar2,2.530004730348038,-149.14380312896358,2505112045.089663,0.00019612798805520573,-135.15428167028134
2.7299999999999858,Sensor1,Radar2,2.7300047353865318,-146.46047304188917,2507664550.892457,0.00019573657198670568,-135.21121193974736
2.7499999999999853,Sensor1,Radar1,2.750100177341696,-87.89183626090531,491694263.4031071,9.67406255150203e-05,45.218553409125334
2.8299999999999836,Sensor1,Radar2,2.830004737408182,-146.371577768449,2500453553.104293,0.00019335101759966722,-135.239634406298
2.949999999999981,Sensor1,Radar3,2.9500363270679473,-109.2146024175782,4517025041.776519,0.00030758319669067476,0.0
2.9699999999999807,Sensor1,Radar3,2.970045089035901,-109.96896326121602,4495618624.016878,0.00030324565430631426,0.0
2.9899999999999802,Sensor1,Radar2,2.9900047388034316,-146.1344092797757,2492347329.1656985,0.00019990152030329467,-135.28505127758382
3.189999999999976,Sensor1,Radar1,3.190100331419344,-88.30782342752846,490127422.8584534,9.844246035129353e-05,45.3458455753732
3.189999999999976,Sensor1,Radar2,3.1900047468630923,-142.9344413030972,2496939055.0611234,0.0002014782995605308,-135.34172027925538
3.229999999999975,Sensor1,Radar1,3.230007848923441,-86.81670971982028,495735198.64716595,9.856354374383426e-05,45.35744538578032
3.289999999999974,Sensor1,Radar1,3.290057625330319,-86.44654445417329,523024892.10105973,0.00010153202686837362,45.374853802884125
